cylinders,make,model,VClass,year,baseModel,atvType
6.0,Chevrolet,Van 1500/2500 2WD,Van,2000,Van 1500/2500,
6.0,Chevrolet,Astro AWD (cargo),Van,2000,Astro Cargo,
6.0,Chevrolet,Astro 2WD (cargo),Van,2000,Astro Cargo,
6.0,Toyota,Tacoma 4WD,Truck,2000,Tacoma,
6.0,Toyota,Tundra 4WD,Truck,2000,Tundra,
8.0,Chevrolet,Van 1500/2500 2WD,Van,2000,Van 1500/2500,
8.0,Toyota,Tundra 4WD,Truck,2000,Tundra,
8.0,Dodge,B2500 Van 2WD,Van,2000,B2500 Van,
8.0,Dodge,B1500 Van 2WD,Van,2000,B1500 Van,
6.0,GMC,Savana 1500/2500 2WD (cargo),Van,2000,Savana Cargo,
6.0,Ford,E150 Econoline 2WD,Van,2000,E150 Econoline,
8.0,Ford,E150 Econoline 2WD,Van,2000,E150 Econoline,
6.0,Ford,E250 Econoline 2WD,Van,2000,E250 Econoline,
8.0,Ford,E250 Econoline 2WD,Van,2000,E250 Econoline,
4.0,Toyota,Tacoma 4WD,Truck,2000,Tacoma,
6.0,Dodge,B1500 Van 2WD,Van,2000,B1500 Van,
6.0,Mazda,B4000 4WD,Truck,2000,B Pickup,
6.0,Nissan,Frontier V6 4WD,Truck,2000,Frontier,
8.0,Dodge,Dakota Pickup 4WD,Truck,2000,Dakota Pickup,
6.0,Dodge,Dakota Pickup 4WD,Truck,2000,Dakota Pickup,
6.0,Chevrolet,S10 Pickup 4WD,Truck,2000,S10 Pickup,
8.0,Chevrolet,Silverado 1500 4WD,Truck,2000,Silverado,
6.0,Chevrolet,Silverado 1500 4WD,Truck,2000,Silverado,
6.0,Toyota,Tacoma 2WD,Truck,2000,Tacoma,
8.0,Toyota,Tundra 2WD,Truck,2000,Tundra,
6.0,Toyota,Tundra 2WD,Truck,2000,Tundra,
4.0,Toyota,Tacoma 2WD,Truck,2000,Tacoma,
8.0,Dodge,Ram 1500 Pickup 4WD,Truck,2000,Ram 1500 Pickup,
6.0,Ford,F150 Pickup 4WD,Truck,2000,F150,
4.0,Nissan,Frontier 4WD,Truck,2000,Frontier,
6.0,Isuzu,Hombre Pickup 4WD,Truck,2000,Hombre Pickup,
6.0,GMC,Sonoma 4WD,Truck,2000,Sonoma,
8.0,GMC,Sierra 1500 4WD,Truck,2000,Sierra,
6.0,GMC,Sierra 1500 4WD,Truck,2000,Sierra,
6.0,Ford,Ranger Pickup 4WD,Truck,2000,Ranger,
8.0,Ford,F150 Pickup 4WD,Truck,2000,F150,
,Ford,Ranger Pickup 2WD,Truck,2000,Ranger,EV
6.0,Nissan,Frontier V6 2WD,Truck,2000,Frontier,
4.0,Isuzu,Hombre Pickup 2WD,Truck,2000,Hombre Pickup,
6.0,Isuzu,Hombre Pickup 2WD,Truck,2000,Hombre Pickup,
6.0,Chevrolet,Silverado 1500 2WD,Truck,2000,Silverado,
6.0,GMC,Sonoma 2WD,Truck,2000,Sonoma,
8.0,Chevrolet,Silverado 1500 2WD,Truck,2000,Silverado,
8.0,Chevrolet,Silverado 2500 2WD,Truck,2000,Silverado,
4.0,Dodge,Dakota Pickup 2WD,Truck,2000,Dakota Pickup,
6.0,Dodge,Dakota Pickup 2WD,Truck,2000,Dakota Pickup,
4.0,GMC,Sonoma 2WD,Truck,2000,Sonoma,
5.0,Volvo,V70 FWD,Sedan,2000,V70,
5.0,Volvo,V70 AWD,Sedan,2000,V70,
4.0,Chevrolet,S10 Pickup 2WD,Truck,2000,S10 Pickup,
6.0,Chevrolet,S10 Pickup 2WD,Truck,2000,S10 Pickup,
8.0,Dodge,Dakota Pickup 2WD,Truck,2000,Dakota Pickup,
8.0,GMC,Sierra 1500 2WD,Truck,2000,Sierra,
8.0,GMC,Sierra 2500 2WD,Truck,2000,Sierra,
4.0,Mazda,2500 2WD,Truck,2000,B Pickup,
6.0,Mazda,B4000 2WD,Truck,2000,B Pickup,
4.0,Nissan,Frontier 2WD,Truck,2000,Frontier,
8.0,Ford,Crown Victoria Police,Sedan,2000,Crown Victoria,
8.0,Chevrolet,Tahoe 1500 2WD,SUV,2000,Tahoe,
8.0,GMC,Savana 1500/2500 2WD (cargo),Van,2000,Savana Cargo,
6.0,GMC,Sierra 1500 2WD,Truck,2000,Sierra,
6.0,Ford,Ranger Pickup 2WD,Truck,2000,Ranger,
6.0,Dodge,Ram 1500 Pickup 2WD,Truck,2000,Ram 1500 Pickup,
8.0,Dodge,Ram 1500 Pickup 2WD,Truck,2000,Ram 1500 Pickup,
6.0,Ford,F150 Pickup 2WD,Truck,2000,F150,
8.0,Ford,F150 Pickup 2WD,Truck,2000,F150,
8.0,Ford,Lightning Pickup 2WD,Truck,2000,F150,
4.0,Ford,Ranger Pickup 2WD,Truck,2000,Ranger,
8.0,Dodge,B2500 Wagon 2WD,Van,2000,B2500 Wagon,
6.0,GMC,Safari AWD (cargo),Van,2000,Safari Cargo,
6.0,Honda,Passport 4WD,SUV,2000,Passport,
6.0,Infiniti,QX4 4WD,SUV,2000,QX4,
6.0,Isuzu,Amigo 4WD,SUV,2000,Amigo,
6.0,Isuzu,Rodeo 4WD,SUV,2000,Rodeo,
6.0,Isuzu,Trooper,SUV,2000,Trooper,
6.0,Isuzu,Vehicross,SUV,2000,Vehicross,
4.0,Jeep,Cherokee 4WD,SUV,2000,Cherokee,
6.0,Jeep,Cherokee 4WD,SUV,2000,Cherokee,
6.0,Jeep,Grand Cherokee 4WD,SUV,2000,Grand Cherokee,
8.0,Jeep,Grand Cherokee 4WD,SUV,2000,Grand Cherokee,
4.0,Jeep,Wrangler 4WD,SUV,2000,Wrangler,
6.0,Jeep,Wrangler 4WD,SUV,2000,Wrangler,
4.0,Kia,Sportage 4WD,SUV,2000,Sportage,
8.0,Land Rover,Discovery Series II,SUV,2000,Discovery,
8.0,Land Rover,Range Rover,SUV,2000,Range Rover,
6.0,Lexus,LX 470,SUV,2000,LX,
4.0,Honda,CR-V 4WD,SUV,2000,CR-V,
8.0,Lincoln,Navigator 4WD,SUV,2000,Navigator,
8.0,GMC,Yukon 1500 4WD,SUV,2000,Yukon,
8.0,BMW,X5,SUV,2000,X5,
8.0,Cadillac,Escalade 4WD,SUV,2000,Escalade,
6.0,Chevrolet,Blazer 4WD,SUV,2000,Blazer,
8.0,Chevrolet,Suburban 1500 4WD,SUV,2000,Suburban,
8.0,Chevrolet,Tahoe 1500 4WD,SUV,2000,Tahoe,
4.0,Chevrolet,Tracker 4WD Convertible,SUV,2000,Tracker,
4.0,Chevrolet,Tracker 4WD Hardtop,SUV,2000,Tracker,
8.0,Dodge,Durango 4WD,SUV,2000,Durango,
8.0,Ford,Expedition 4WD,SUV,2000,Expedition,
6.0,Ford,Explorer 4WD,SUV,2000,Explorer,
8.0,Ford,Explorer 4WD,SUV,2000,Explorer,
6.0,GMC,Jimmy 4WD,SUV,2000,Jimmy,
8.0,GMC,Yukon XL 1500 4WD,SUV,2000,Yukon,
6.0,Mercedes-Benz,ML320,SUV,2000,ML-Class,
8.0,Mercedes-Benz,ML430,SUV,2000,ML-Class,
8.0,Mercedes-Benz,ML55,SUV,2000,ML-Class,
4.0,Toyota,RAV4 Soft Top 4WD,SUV,2000,RAV4,
4.0,Chevrolet,Cavalier (Bi-fuel CNG),Sedan,2000,Cavalier,Bifuel (CNG)
4.0,Honda,Civic CNG,Sedan,2000,Civic,CNG
4.0,Toyota,Camry CNG,Sedan,2000,Camry,CNG
8.0,Ford,Crown Victoria CNG,Sedan,2000,Crown Victoria,CNG
8.0,Ford,F150 Pickup 2WD CNG,Truck,2000,F150,CNG
8.0,Ford,E250 Econoline 2WD CNG,Van,2000,E250 Econoline,CNG
6.0,Ford,Taurus,Sedan,2000,Taurus,FFV
6.0,Ford,Taurus Wagon,Sedan,2000,Taurus,FFV
6.0,Ford,Ranger 2WD FFV,Truck,2000,Ranger,FFV
6.0,Mazda,B3000 FFV 2WD,Truck,2000,B Pickup,FFV
6.0,Mazda,B3000 FFV 4WD,Truck,2000,B Pickup,FFV
6.0,Ford,Explorer 2WD,SUV,2000,Explorer,FFV
6.0,Ford,Ranger 4WD FFV,Truck,2000,Ranger,FFV
6.0,Plymouth,Voyager/Grand Voyager 2WD,Van,2000,Voyager/Grand Voyager,FFV
6.0,Dodge,Caravan/Grand Caravan 2WD,Van,2000,Caravan/Grand Caravan,FFV
6.0,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Van,2000,Town and Country/Voyager/Grand Voyager,FFV
,Nissan,Altra EV,Sedan,2000,Altra EV,EV
,Toyota,RAV4 EV,SUV,2000,RAV4,EV
4.0,Toyota,RAV4 4WD,SUV,2000,RAV4,
8.0,Toyota,Land Cruiser Wagon 4WD,SUV,2000,Land Cruiser,
6.0,Toyota,4Runner 4WD,SUV,2000,4Runner,
6.0,Mercury,Mountaineer 4WD,SUV,2000,Mountaineer,
8.0,Mercury,Mountaineer 4WD,SUV,2000,Mountaineer,
6.0,Mitsubishi,Montero,SUV,2000,Montero,
6.0,Mitsubishi,Montero Sport 4WD,SUV,2000,Montero Sport,
6.0,Mitsubishi,Nativa 4WD,SUV,2000,Nativa,
6.0,Nissan,Pathfinder 4WD,SUV,2000,Pathfinder,
6.0,Nissan,Xterra V6 4WD,SUV,2000,Xterra,
4.0,Toyota,RAV4 Soft Top 2WD,SUV,2000,RAV4,
6.0,Oldsmobile,Bravada AWD,SUV,2000,Bravada,
4.0,Subaru,Forester AWD,SUV,2000,Forester,
6.0,Suzuki,Grand Vitara 4Door 4WD,SUV,2000,Grand Vitara,
4.0,Suzuki,Vitara 2Door 4WD,SUV,2000,Vitara,
4.0,Suzuki,Vitara 4Door 4WD,SUV,2000,Vitara,
4.0,Toyota,4Runner 4WD,SUV,2000,4Runner,
6.0,GMC,Safari 2WD (cargo),Van,2000,Safari Cargo,
4.0,Toyota,RAV4 2WD,SUV,2000,RAV4,
6.0,Ford,Windstar FWD Wagon,Van,2000,Windstar,
6.0,Honda,Odyssey,Van,2000,Odyssey,
6.0,Mazda,MPV,Van,2000,MPV,
6.0,Mercury,Villager FWD Wagon,Van,2000,Villager,
6.0,Nissan,Quest,Van,2000,Quest,
6.0,Oldsmobile,Silhouette 2WD,Van,2000,Silhouette,
4.0,Plymouth,Voyager/Grand Voyager 2WD,Van,2000,Voyager/Grand Voyager,
6.0,Plymouth,Voyager/Grand Voyager 2WD,Van,2000,Voyager/Grand Voyager,
6.0,Pontiac,Montana FWD,Van,2000,Montana,
6.0,Toyota,Sienna 2WD,Van,2000,Sienna,
6.0,Volkswagen,Eurovan,Van,2000,Eurovan,
6.0,Chrysler,Town and Country/Voyager/Grand Voy. AWD,Van,2000,Town and Country/Voyager/Grand Voyager,
6.0,Dodge,Caravan/Grand Caravan AWD,Van,2000,Caravan/Grand Caravan,
6.0,Chevrolet,Blazer 2WD,SUV,2000,Blazer,
8.0,Chevrolet,Suburban 1500 2WD,SUV,2000,Suburban,
4.0,Chevrolet,Tracker 2WD Convertible,SUV,2000,Tracker,
4.0,Chevrolet,Tracker 2WD Hardtop,SUV,2000,Tracker,
6.0,Ford,Windstar FWD Cargo Van,Van,2000,Windstar,
6.0,Dodge,Caravan/Grand Caravan 2WD,Van,2000,Caravan/Grand Caravan,
6.0,Chevrolet,Astro 2WD (passenger),Van,2000,Astro Passenger,
6.0,Chevrolet,Astro AWD (passenger),Van,2000,Astro Passenger,
6.0,Chevrolet,Express 1500/2500 2WD,Van,2000,Express Passenger,
8.0,Chevrolet,Express 1500/2500 2WD,Van,2000,Express Passenger,
6.0,Dodge,B1500 Wagon 2WD,Van,2000,B1500 Wagon,
8.0,Dodge,B1500 Wagon 2WD,Van,2000,B1500 Wagon,
6.0,Ford,E150 Club Wagon,Van,2000,E150 Club Wagon,
8.0,Ford,E150 Club Wagon,Van,2000,E150 Club Wagon,
6.0,GMC,Savana 1500/2500 2WD (Passenger),Van,2000,Savana Passenger,
8.0,GMC,Savana 1500/2500 2WD (Passenger),Van,2000,Savana Passenger,
6.0,GMC,Safari 2WD (Passenger),Van,2000,Safari Passenger,
6.0,GMC,Safari AWD (Passenger),Van,2000,Safari Passenger,
6.0,Ford,Postal Vehicle,Van,2000,Postal Vehicle,
6.0,Volkswagen,Eurovan Camper,Van,2000,Eurovan,
6.0,Chevrolet,Venture FWD,Van,2000,Venture,
6.0,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Van,2000,Town and Country/Voyager/Grand Voyager,
4.0,Dodge,Caravan/Grand Caravan 2WD,Van,2000,Caravan/Grand Caravan,
8.0,Dodge,Durango 2WD,SUV,2000,Durango,
4.0,Kia,Sportage 2WD,SUV,2000,Sportage,
8.0,Lincoln,Navigator 2WD,SUV,2000,Navigator,
6.0,Mercury,Mountaineer 2WD,SUV,2000,Mountaineer,
8.0,Mercury,Mountaineer 2WD,SUV,2000,Mountaineer,
6.0,Mitsubishi,Montero Sport 2WD,SUV,2000,Montero Sport,
4.0,Mitsubishi,Nativa 2WD,SUV,2000,Nativa,
6.0,Mitsubishi,Nativa 2WD,SUV,2000,Nativa,
6.0,Nissan,Pathfinder 2WD,SUV,2000,Pathfinder,
4.0,Nissan,Xterra 2WD,SUV,2000,Xterra,
6.0,Nissan,Xterra V6 2WD,SUV,2000,Xterra,
6.0,Suzuki,Grand Vitara 4Door 2WD,SUV,2000,Grand Vitara,
4.0,Suzuki,Vitara 2Door 2WD,SUV,2000,Vitara,
4.0,Suzuki,Vitara 4Door 2WD,SUV,2000,Vitara,
4.0,Toyota,4Runner 2WD,SUV,2000,4Runner,
6.0,Toyota,4Runner 2WD,SUV,2000,4Runner,
8.0,Jeep,Grand Cherokee 2WD,SUV,2000,Grand Cherokee,
6.0,Jeep,Grand Cherokee 2WD,SUV,2000,Grand Cherokee,
6.0,Jeep,Cherokee 2WD,SUV,2000,Cherokee,
8.0,Ford,Expedition 2WD,SUV,2000,Expedition,
6.0,Ford,Explorer 2WD,SUV,2000,Explorer,
8.0,Ford,Explorer 2WD,SUV,2000,Explorer,
8.0,GMC,Yukon 1500 2WD,SUV,2000,Yukon,
8.0,GMC,Yukon XL 1500 2WD,SUV,2000,Yukon,
6.0,GMC,Jimmy 2WD,SUV,2000,Jimmy,
4.0,Honda,CR-V 2WD,SUV,2000,CR-V,
6.0,Honda,Passport 2WD,SUV,2000,Passport,
4.0,Isuzu,Amigo 2WD,SUV,2000,Amigo,
6.0,Isuzu,Amigo 2WD,SUV,2000,Amigo,
4.0,Isuzu,Rodeo 2WD,SUV,2000,Rodeo,
6.0,Isuzu,Rodeo 2WD,SUV,2000,Rodeo,
6.0,Isuzu,Trooper 2WD,SUV,2000,Trooper,
4.0,Jeep,Cherokee 2WD,SUV,2000,Cherokee,
6.0,Volkswagen,Passat Wagon 4motion,Sedan,2000,Passat,
6.0,Chrysler,Concorde,Sedan,2000,Concorde,
6.0,Volkswagen,Passat Wagon,Sedan,2000,Passat,
4.0,Volkswagen,New Beetle,Sedan,2000,Beetle,Diesel
4.0,Volkswagen,New Beetle,Sedan,2000,Beetle,
5.0,Volvo,C70 Convertible,Sedan,2000,C70,
4.0,Audi,A4,Sedan,2000,A4,
6.0,Audi,A4,Sedan,2000,A4,
4.0,Audi,A4 quattro,Sedan,2000,A4,
6.0,Audi,A4 quattro,Sedan,2000,A4,
6.0,Audi,S4,Sedan,2000,S4,
8.0,Bentley,Continental R,Sedan,2000,Continental,
6.0,BMW,323i,Sedan,2000,3 Series,
6.0,BMW,328i,Sedan,2000,3 Series,
6.0,BMW,528i,Sedan,2000,5 Series,
4.0,Volkswagen,Cabrio,Sedan,2000,Cabrio,
8.0,Rolls-Royce,Corniche,Sedan,2000,Corniche/Continental,
4.0,Saab,9-3 Convertible,Sedan,2000,9-3,
4.0,Saab,9-3 Viggen Convertible,Sedan,2000,9-3,
4.0,Saturn,SC,Sedan,2000,SC,
4.0,Subaru,Impreza AWD,Sedan,2000,Impreza/Outback Sport,
4.0,Suzuki,Esteem,Sedan,2000,Esteem,
4.0,Suzuki,Swift,Sedan,2000,Swift,
4.0,Toyota,Camry Solara Convertible,Sedan,2000,Camry,
6.0,Toyota,Camry Solara Convertible,Sedan,2000,Camry,
4.0,Toyota,Celica,Sedan,2000,Celica,
8.0,BMW,540i,Sedan,2000,5 Series,
4.0,Infiniti,G20,Sedan,2000,G20,
8.0,Jaguar,XJ8,Sedan,2000,XJ,
8.0,Jaguar,XJR,Sedan,2000,XJR,
4.0,Kia,Sephia/Spectra,Sedan,2000,Sephia/Spectra,
6.0,Lexus,ES 300,Sedan,2000,ES,
4.0,Mercury,Cougar,Sedan,2000,Cougar,
6.0,Mercury,Cougar,Sedan,2000,Cougar,
4.0,Mercury,Mystique,Sedan,2000,Mystique,
6.0,Mercury,Mystique,Sedan,2000,Mystique,
6.0,Mazda,Millenia,Sedan,2000,Millenia,
4.0,Mazda,Protege,Sedan,2000,Protege,
4.0,Mercedes-Benz,C230 Kompressor,Sedan,2000,C-Class,
6.0,Mercedes-Benz,C280,Sedan,2000,C-Class,
8.0,Mercedes-Benz,C43 AMG,Sedan,2000,C-Class,
8.0,Mercedes-Benz,CL500,Sedan,2000,CL-Class,
4.0,Nissan,Altima,Sedan,2000,Altima,
4.0,Hyundai,Elantra,Sedan,2000,Elantra,
4.0,Hyundai,Accent/Brio,Sedan,2000,Accent/Brio,
8.0,BMW,M5,Sedan,2000,M,
4.0,Chevrolet,Prizm,Sedan,2000,Prizm,
6.0,Chrysler,Sebring,Sedan,2000,Sebring,
6.0,Chrysler,Sebring Convertible,Sedan,2000,Sebring,
4.0,Daewoo,Lanos,Sedan,2000,Lanos,
4.0,Daewoo,Nubira,Sedan,2000,Nubira,
4.0,Pontiac,Sunfire,Sedan,2000,Sunfire,
4.0,Dodge,Neon,Sedan,2000,Neon,
4.0,Ford,Contour,Sedan,2000,Contour,
6.0,Ford,Contour,Sedan,2000,Contour,
4.0,Ford,Escort,Sedan,2000,Escort,
4.0,Ford,Focus,Sedan,2000,Focus,
6.0,Dodge,Avenger,Sedan,2000,Avenger,
6.0,Porsche,Boxster S,Two Seaters,2000,Boxster,
4.0,Toyota,MR2,Two Seaters,2000,MR2,
12.0,Aston Martin,DB-7 Vantage Coupe,Sedan,2000,DB-7 Vantage,
12.0,Aston Martin,DB-7 Vantage Volante,Sedan,2000,DB-7 Vantage,
4.0,Audi,TT Coupe,Sedan,2000,TT Coupe,
4.0,Audi,TT Coupe quattro,Sedan,2000,TT Coupe,
6.0,BMW,323i Convertible,Sedan,2000,3 Series,
6.0,BMW,M Roadster,Sedan,2000,M,
8.0,Jaguar,XK8 Convertible,Sedan,2000,XK8,
8.0,Jaguar,XKR Convertible,Sedan,2000,XKR,
6.0,Mercedes-Benz,CLK320 (Cabriolet),Sedan,2000,CLK-Class,
8.0,Mercedes-Benz,CLK430 (Cabriolet),Sedan,2000,CLK-Class,
6.0,Porsche,911 Carrera,Sedan,2000,911,
8.0,Qvale,Detomaso Mangusta,Sedan,2000,Detomaso Mangusta,
4.0,Acura,Integra,Sedan,2000,Integra,
8.0,Bentley,Azure,Sedan,2000,Azure,
6.0,Porsche,Boxster,Two Seaters,2000,Boxster,
6.0,Plymouth,Prowler,Two Seaters,2000,Prowler,
4.0,Mercedes-Benz,SLK230 Kompressor,Two Seaters,2000,SLK-Class,
6.0,Acura,NSX,Two Seaters,2000,NSX,
6.0,BMW,M Coupe,Two Seaters,2000,M,
6.0,BMW,Z3 Coupe,Two Seaters,2000,Z3,
6.0,BMW,Z3 Roadster,Two Seaters,2000,Z3,
8.0,BMW,Z8,Two Seaters,2000,Z8,
8.0,Chevrolet,Corvette,Two Seaters,2000,Corvette,
8.0,Bentley,Continental SC,Sedan,2000,Continental,
10.0,Dodge,Viper Convertible,Two Seaters,2000,Viper,
8.0,Ferrari,360 Modena/Spider,Two Seaters,2000,360 Modena/Spider,
12.0,Ferrari,550 Maranello,Two Seaters,2000,550 Maranello,
3.0,Honda,Insight,Two Seaters,2000,Insight,Hybrid
4.0,Honda,S2000,Two Seaters,2000,S2000,
8.0,Lotus,Esprit V8,Two Seaters,2000,Esprit,
4.0,Mazda,MX-5 Miata,Two Seaters,2000,MX-5 Miata,
8.0,Mercedes-Benz,SL500,Two Seaters,2000,SL-Class,
12.0,Mercedes-Benz,SL600,Two Seaters,2000,SL-Class,
10.0,Dodge,Viper Coupe,Two Seaters,2000,Viper,
8.0,Bentley,Continental T,Sedan,2000,Continental,
6.0,BMW,323ci,Sedan,2000,3 Series,
4.0,Honda,Civic HX,Sedan,2000,Civic,
4.0,Honda,Prelude,Sedan,2000,Prelude,
4.0,Hyundai,Tiburon,Sedan,2000,Tiburon,
8.0,Jaguar,XK8,Sedan,2000,XK8,
8.0,Jaguar,XKR,Sedan,2000,XKR,
6.0,Lexus,SC,Sedan,2000,SC,
8.0,Lexus,SC,Sedan,2000,SC,
6.0,Mercedes-Benz,CLK320,Sedan,2000,CLK-Class,
8.0,Mercedes-Benz,CLK430,Sedan,2000,CLK-Class,
4.0,Mitsubishi,Eclipse,Sedan,2000,Eclipse,
6.0,Mitsubishi,Eclipse,Sedan,2000,Eclipse,
4.0,Mitsubishi,Mirage,Sedan,2000,Mirage,
6.0,Pontiac,Firebird/Trans Am,Sedan,2000,Firebird/Trans Am/Formula,
8.0,Pontiac,Firebird/Trans Am,Sedan,2000,Firebird/Trans Am/Formula,
4.0,Honda,Civic,Sedan,2000,Civic,
6.0,BMW,328ci,Sedan,2000,3 Series,
6.0,Chevrolet,Camaro,Sedan,2000,Camaro,
8.0,Chevrolet,Camaro,Sedan,2000,Camaro,
4.0,Chevrolet,Cavalier,Sedan,2000,Cavalier,
3.0,Chevrolet,Metro,Sedan,2000,Metro,
4.0,Chevrolet,Metro,Sedan,2000,Metro,
12.0,Ferrari,456 MGT/MGA,Sedan,2000,456 MGT/MGA,
4.0,Ford,Escort ZX2,Sedan,2000,Escort,
6.0,Ford,Mustang,Sedan,2000,Mustang,
8.0,Ford,Mustang,Sedan,2000,Mustang,
4.0,Nissan,Sentra,Sedan,2000,Sentra,
6.0,Volkswagen,Passat,Sedan,2000,Passat,
6.0,Volkswagen,Passat 4motion,Sedan,2000,Passat,
5.0,Volvo,S70,Sedan,2000,S70,
5.0,Volvo,S70 AWD,Sedan,2000,S70,
6.0,Volvo,S80,Sedan,2000,S80,
8.0,Audi,A8 L,Sedan,2000,A8,
8.0,BMW,740il/740il Protection,Sedan,2000,7 Series,
12.0,BMW,750il/750il Protection,Sedan,2000,7 Series,
6.0,Buick,LeSabre,Sedan,2000,LeSabre,
6.0,Buick,Park Avenue,Sedan,2000,Park Avenue,
8.0,Cadillac,DeVille,Sedan,2000,DeVille,
6.0,Chevrolet,Impala,Sedan,2000,Impala,
6.0,Chrysler,300 M,Sedan,2000,300,
6.0,Chrysler,LHS,Sedan,2000,LHS,
6.0,Dodge,Intrepid,Sedan,2000,Intrepid,
4.0,Volkswagen,Passat,Sedan,2000,Passat,
6.0,Toyota,Camry,Sedan,2000,Camry,
6.0,Nissan,Maxima,Sedan,2000,Maxima,
6.0,Oldsmobile,Intrigue,Sedan,2000,Intrigue,
4.0,Plymouth,Breeze,Sedan,2000,Breeze,
6.0,Pontiac,Grand Prix,Sedan,2000,Grand Prix,
4.0,Saab,9-3,Sedan,2000,9-3,
4.0,Saab,9-3 Viggen,Sedan,2000,9-3,
4.0,Saab,9-5,Sedan,2000,9-5,
6.0,Saab,9-5,Sedan,2000,9-5,
4.0,Saturn,LS,Sedan,2000,LS,
6.0,Saturn,LS,Sedan,2000,LS,
4.0,Toyota,Camry,Sedan,2000,Camry,
6.0,Mitsubishi,Galant,Sedan,2000,Galant,
6.0,Ford,Taurus,Sedan,2000,Taurus,
4.0,Suzuki,Esteem Wagon,Sedan,2000,Esteem,
4.0,Volvo,V40,Sedan,2000,V40,
6.0,Audi,A6 Avant quattro,Sedan,2000,A6,
4.0,Ford,Focus Station Wagon,Sedan,2000,Focus,
6.0,Ford,Taurus Wagon,Sedan,2000,Taurus,
6.0,Lexus,RX 300,Sedan,2000,RX,
6.0,Lexus,RX 300 4WD,Sedan,2000,RX,
6.0,Mercury,Sable Wagon,Sedan,2000,Sable,
6.0,Mercedes-Benz,E320 (Wagon),Sedan,2000,E-Class,
6.0,Mercedes-Benz,E320 4Matic (Wagon),Sedan,2000,E-Class,
4.0,Saab,9-5 Wagon,Sedan,2000,9-5,
6.0,Saab,9-5 Wagon,Sedan,2000,9-5,
4.0,Saturn,LW,Sedan,2000,LW,
6.0,Saturn,LW,Sedan,2000,LW,
4.0,Subaru,Legacy Wagon AWD,Sedan,2000,Legacy/Outback,
4.0,Volkswagen,Passat Wagon,Sedan,2000,Passat,
8.0,Ford,Crown Victoria,Sedan,2000,Crown Victoria,
4.0,Saturn,SW,Sedan,2000,SW,
8.0,Lincoln,Continental,Sedan,2000,Continental,
8.0,Mercury,Grand Marquis,Sedan,2000,Grand Marquis,
8.0,Lincoln,Town Car,Sedan,2000,Town Car,
8.0,Mercedes-Benz,S430,Sedan,2000,S-Class,
8.0,Mercedes-Benz,S500,Sedan,2000,S-Class,
6.0,Pontiac,Bonneville,Sedan,2000,Bonneville,
6.0,Toyota,Avalon,Sedan,2000,Avalon,
6.0,Audi,A4 Avant,Sedan,2000,A4,
4.0,Audi,A4 Avant quattro,Sedan,2000,A4,
6.0,Audi,A4 Avant quattro,Sedan,2000,A4,
6.0,BMW,323i Touring,Sedan,2000,3 Series,
6.0,BMW,528i Sport Wagon,Sedan,2000,5 Series,
8.0,BMW,540i Sport Wagon,Sedan,2000,5 Series,
4.0,Daewoo,Nubira Station Wagon,Sedan,2000,Nubira,
4.0,Hyundai,Elantra Wagon,Sedan,2000,Elantra,
4.0,Mitsubishi,Galant,Sedan,2000,Galant,
8.0,Mercedes-Benz,E55 AMG,Sedan,2000,E-Class,
4.0,Volkswagen,GTI,Sedan,2000,Golf/GTI,
6.0,Volkswagen,GTI,Sedan,2000,Golf/GTI,
4.0,Volkswagen,Jetta,Sedan,2000,Jetta,
4.0,Volkswagen,Jetta,Sedan,2000,Jetta,Diesel
6.0,Volkswagen,Jetta,Sedan,2000,Jetta,
4.0,Volkswagen,Golf,Sedan,2000,Golf/GTI,
5.0,Volvo,C70 Coupe,Sedan,2000,C70,
4.0,Volvo,S40 FWD,Sedan,2000,S40,
6.0,Acura,3.2TL,Sedan,2000,TL,
6.0,Acura,3.5RL,Sedan,2000,RL,
6.0,Audi,A6,Sedan,2000,A6,
6.0,Audi,A6 quattro,Sedan,2000,A6,
8.0,Audi,A6 quattro,Sedan,2000,A6,
8.0,Audi,A8 quattro,Sedan,2000,A8,
6.0,Mitsubishi,Diamante,Sedan,2000,Diamante,
4.0,Volkswagen,Golf,Sedan,2000,Golf/GTI,Diesel
4.0,Oldsmobile,Alero,Sedan,2000,Alero,
6.0,Oldsmobile,Alero,Sedan,2000,Alero,
4.0,Plymouth,Neon,Sedan,2000,Neon,
4.0,Pontiac,Grand Am,Sedan,2000,Grand Am,
6.0,Pontiac,Grand Am,Sedan,2000,Grand Am,
4.0,Saturn,SL,Sedan,2000,SL,
4.0,Subaru,Legacy AWD,Sedan,2000,Legacy/Outback,
4.0,Toyota,Camry Solara,Sedan,2000,Camry,
6.0,Toyota,Camry Solara,Sedan,2000,Camry,
4.0,Toyota,Corolla,Sedan,2000,Corolla,
4.0,Toyota,Echo,Sedan,2000,Echo,
8.0,Bentley,Arnage,Sedan,2000,Arnage,
8.0,BMW,740i/740i Sport,Sedan,2000,7 Series,
6.0,Hyundai,Sonata,Sedan,2000,Sonata,
6.0,Infiniti,I30,Sedan,2000,I30,
8.0,Infiniti,Q45,Sedan,2000,Q45,
8.0,Jaguar,Vanden Plas,Sedan,2000,Vanden Plas,
